user_id,feature,event_type,event_time
user_00413,dashboard,engagement,2021-06-08 17:12:00
user_00249,bulk_edit,engagement,2021-10-19 11:11:00
user_01131,notifications,engagement,2021-08-28 09:15:00
user_01124,search,engagement,2021-09-24 10:14:00
user_00354,notifications,engagement,2021-11-07 20:31:00
user_00760,reporting,engagement,2021-10-08 09:29:00
user_00790,export,engagement,2021-11-11 08:19:00
user_00286,export,engagement,2021-10-30 13:35:00
user_01048,dashboard,engagement,2021-08-31 14:50:00
user_00276,notifications,engagement,2021-06-18 19:18:00
user_01093,search,engagement,2021-08-03 09:15:00
user_00581,dashboard,engagement,2021-02-09 20:11:00
user_00849,bulk_edit,engagement,2021-04-13 10:02:00
user_00364,bulk_edit,engagement,2021-07-14 14:05:00
user_01113,notifications,engagement,2021-08-04 08:18:00
user_00511,notifications,engagement,2021-06-03 12:58:00
user_01301,bulk_edit,engagement,2021-03-26 17:03:00
user_01355,search,engagement,2021-05-19 20:50:00
user_00886,reporting,engagement,2021-05-28 20:25:00
user_00558,export,engagement,2021-09-03 20:12:00
user_01424,search,engagement,2021-04-03 14:30:00
user_00522,dashboard,engagement,2021-06-13 19:38:00
user_00750,export,engagement,2021-08-17 14:40:00
user_00204,export,engagement,2021-08-08 10:34:00
user_01301,search,engagement,2021-03-28 19:32:00
user_00412,export,engagement,2021-09-25 08:23:00
user_01145,dashboard,engagement,2021-05-19 13:56:00
user_00158,dashboard,engagement,2021-10-08 18:18:00
user_01414,reporting,engagement,2021-06-19 19:31:00
user_00325,bulk_edit,engagement,2021-09-12 19:08:00
user_00292,search,engagement,2021-05-20 17:11:00
user_00011,notifications,engagement,2021-06-15 08:56:00
user_00130,search,engagement,2021-03-16 14:56:00
user_01381,export,engagement,2021-11-02 17:21:00
user_00044,notifications,engagement,2021-01-20 18:07:00
user_00375,search,engagement,2021-09-27 19:25:00
user_00504,reporting,engagement,2021-05-06 16:36:00
user_00315,dashboard,engagement,2021-08-19 10:46:00
user_00726,export,engagement,2021-07-28 09:28:00
user_00950,dashboard,engagement,2021-08-08 10:38:00
user_01111,bulk_edit,engagement,2021-11-06 16:53:00
user_00676,notifications,engagement,2021-02-16 17:12:00
user_00519,bulk_edit,engagement,2021-05-04 19:20:00
user_00821,bulk_edit,engagement,2021-10-20 14:59:00
user_00438,dashboard,engagement,2021-03-11 18:57:00
user_00437,notifications,engagement,2021-06-01 09:43:00
user_00752,notifications,engagement,2021-05-29 19:08:00
user_01048,notifications,engagement,2021-09-28 08:48:00
user_00790,search,engagement,2021-11-21 08:45:00
user_00104,search,engagement,2021-05-30 20:17:00
user_01323,export,engagement,2021-02-19 17:27:00
user_00668,search,engagement,2021-08-31 13:14:00
user_00049,bulk_edit,engagement,2021-03-30 16:27:00
user_00625,dashboard,engagement,2021-02-21 11:40:00
user_00332,dashboard,engagement,2021-03-05 13:28:00
user_01416,reporting,engagement,2021-07-10 12:02:00
user_01148,dashboard,engagement,2021-09-27 20:17:00
user_00023,reporting,engagement,2021-05-30 14:49:00
user_00959,notifications,engagement,2021-03-09 09:09:00
user_00913,bulk_edit,engagement,2021-08-11 16:04:00
user_00225,reporting,engagement,2021-01-28 15:24:00
user_01260,search,engagement,2021-03-20 08:35:00
user_01451,bulk_edit,engagement,2021-08-06 09:53:00
user_00628,reporting,engagement,2021-09-08 15:33:00
user_01340,dashboard,engagement,2021-10-18 16:31:00
user_00538,notifications,engagement,2021-01-21 18:48:00
user_00131,search,engagement,2021-03-02 09:05:00
user_01341,export,engagement,2021-06-30 14:06:00
user_00778,search,engagement,2021-10-29 12:09:00
user_01477,reporting,engagement,2021-08-13 20:15:00
user_00123,search,engagement,2021-09-25 09:16:00
user_01487,search,engagement,2021-03-16 15:25:00
user_01329,search,engagement,2021-04-12 18:44:00
user_00062,notifications,engagement,2021-09-15 14:39:00
user_00397,export,engagement,2021-05-12 16:43:00
user_00884,bulk_edit,engagement,2021-08-12 09:45:00
user_00581,dashboard,engagement,2021-02-13 11:41:00
user_00559,export,engagement,2021-09-13 08:24:00
user_00143,dashboard,engagement,2021-05-31 08:04:00
user_00654,dashboard,engagement,2021-03-27 20:28:00
user_00584,notifications,engagement,2021-01-17 16:15:00
user_00518,dashboard,engagement,2021-02-01 08:13:00
user_01417,reporting,engagement,2021-03-28 08:35:00
user_00458,export,engagement,2021-02-11 17:37:00
user_00466,dashboard,engagement,2021-09-08 19:20:00
